Vaccine candidate,Developer Location,Trial Phase,1 or 2 doses,Deal Type,Finalized Commitment,Manufacturer and/or Distributor,Manufacturer and/or Distributor Primary Location,Doses committed (in millions),Timeline at time of deal,Price (in USD million), Price/Dose (in USD) ,Buyer/recipient,Region,Income level," GNI per capita, Atlas method (current US$) "," GNI, Atlas method (current US$) ", Population ,Population size (millions),Doses/capita,Population covered,Notes,Sources
Sinovac,China,Approved,2,Government Purchase,Yes,,,9.000,Jan-21,Not available,,Azerbaijan,Europe & Central Asia,Upper middle income," 4,480.00 "," 44,873,711,541.17 "," 10,023,318.00 ",10.02,0.898,44.90%,"First agreement signed through Turkey for 4m doses, where the doses would first be delivered to Turkey, checked and then transported to Azerbaijan. New agreement signed for 5m doses with China bringing the total to 9m doses",https://oc-media.org/azerbaijan-starts-rolling-out-chinas-sinovac-vaccine/
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,0.300,Mar-21,Not available,,Bahrain,Middle East & North Africa,High income," 22,110.00 "," 36,288,393,542.74 "," 1,641,172.00 ",1.64,0.183,9.14%,"Total doses purchased unavailble, but 0.3m doses have been delivered. Bahrain had previously hosted clinical trials of the vaccine.",http://www.chinadaily.com.cn/a/202103/13/WS604c2a24a31024ad0baaef7a.html
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,NA,Starting Dec 2020,Not available,,Bahrain,Middle East & North Africa,High income," 22,110.00 "," 36,288,393,542.74 "," 1,641,172.00 ",1.64,#VALUE!,#VALUE!,Details of the agreement have not been made public but vaccine rollout has already begun,https://www.reuters.com/article/health-coronavirus-vaccine-bahrain-int-idUSKBN2BH1FF ; https://www.arabnews.com/node/1793561/middle-east
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute [manufacturer]; Beximco [Bangladesh] [distributor],India,30.000,,120.00, 4.00 ,Bangladesh,South Asia,Lower middle income," 1,940.00 "," 316,235,042,683.12 "," 163,046,161.00 ",163.05,0.184,9.20%,"Beximco purchasing at 4 USD/dose for Bangladeshi government ""at first"" but will, over some unspecified period of time, decrease to the rate that the Indian government is paying. ",https://www.reuters.com/article/us-health-coronavirus-bangladesh-vaccine/exclusive-bangladeshs-beximco-could-start-private-sales-of-astrazeneca-vaccine-next-month-idUKKBN29H1YC
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Private Purchase,Yes,Serum Institute [manufacturer]; Beximco [Bangladesh] [distributor],India,1.000,,8.00, 8.00 ,Bangladesh,South Asia,Lower middle income," 1,940.00 "," 316,235,042,683.12 "," 163,046,161.00 ",163.05,0.006,0.31%,"Will be provided for private sale in Bangladesh, for 13.27 USD/dose. Option to add another 2m doses. Price paid was put at estimated 8 USD/dose, used to estimate total price",https://www.reuters.com/article/us-health-coronavirus-bangladesh-vaccine/exclusive-bangladeshs-beximco-could-start-private-sales-of-astrazeneca-vaccine-next-month-idUKKBN29H1YC
Gamaleya,Russian Federation,Approved,2,Combination,Yes,Belpharmprom,Belarus,0.100,,0.98, 9.75 ,Belarus,Europe & Central Asia,Upper middle income," 6,290.00 "," 59,501,934,102.27 "," 9,466,856.00 ",9.47,0.011,0.53%,Belarus is starting roll out with 0.1m doses in March 2021.  Not clear if additional doses have been purchased. ,https://eng.belta.by/society/view/belarus-to-roll-out-first-commercial-batch-of-sputnik-v-in-mid-april-138660-2021/; https://sputnikvaccine.com/newsroom/pressreleases/belarus-starts-vaccination-with-sputnik-v-/ ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
Sinovac,China,Approved,2,Government Purchase,Yes,,,0.103,,Not available,,Benin,Sub-Saharan Africa,Lower middle income," 1,250.00 "," 14,799,214,859.05 "," 11,801,151.00 ",11.80,0.009,0.44%,Benin has also received a roughly equivalent donation of Sinovac vaccines from China.,https://www.gouv.bj/actualite/1226/lutte-contre-pandemie-coronavirus--covid-19-benin-recu-203.000-doses-vaccins-chine/
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,5.000,April 2021 (for first 1m),Not available,,Bolivia,Latin America & Caribbean,Lower middle income," 3,520.00 "," 40,563,574,718.82 "," 11,513,100.00 ",11.51,0.434,21.71%,,https://www.reuters.com/article/healthbolivia-india/bolivia-signs-contract-with-indias-serum-institute-for-5-million-astrazeneca-vaccine-doses-idUSKBN29I28V
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,2.600,All shipped by May 2021,25.35, 9.75 ,Bolivia,Latin America & Caribbean,Lower middle income," 3,520.00 "," 40,563,574,718.82 "," 11,513,100.00 ",11.51,0.226,11.29%,"Some reporting puts the number of total doses at 5.2m doses, but the RDIF reports 2.6. Price estimated at 10/dose; this estimate used to calculate total price.","https://www.reuters.com/article/us-health-coronavirus-latam-russia-insig/amid-scramble-for-covid-19-vaccine-latin-america-turns-to-russia-idUSKCN2AT23J ; https://sputnikvaccine.com/newsroom/pressreleases/rdif-to-supply-2-6-million-doses-of-russian-sputnik-v-coronavirus-vaccine-to-bolivia/, https://www.aljazeera.com/news/2020/12/31/bolivia-algeria-sign-vaccine-deals-for-russias-sputnik-v ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7"
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,0.400,End-Feb 2021,Not available,,Bolivia,Latin America & Caribbean,Lower middle income," 3,520.00 "," 40,563,574,718.82 "," 11,513,100.00 ",11.51,0.035,1.74%,,https://cnnespanol.cnn.com/2021/02/11/gobierno-de-bolivia-llega-a-acuerdo-con-sinopharm-para-adquisicion-de-500-000-vacunas-contra-covid-19/ ; https://as.com/diarioas/2021/02/12/actualidad/1613164666_711512.html
