Vaccine candidate,Developer Location,Trial Phase,1 or 2 doses,Deal Type,Finalized Commitment,Manufacturer and/or Distributor,Manufacturer and/or Distributor Primary Location,Doses committed (in millions),Timeline at time of deal,Price (in USD million), Price/Dose (in USD) ,Buyer/recipient,Region,Income level," GNI per capita, Atlas method (current US$) "," GNI, Atlas method (current US$) ", Population ,Population size (millions),Doses/capita,Population covered,Notes,Sources
Curevac,Germany,Phase 3,2,Multilateral Purchase,Yes,,,225.000,,2767.50, 12.30 ,European Union,0.00,High income," 35,812.48 "," 16,026,517,409,439.00 "," 447,512,041.00 ",447.51,0.503,25.14%,"Deal for 225m, option to buy another 180m. Price based on leaked price/dose estimates provided by the Belgian foreign minister; this is higher than was reported a month earlier in Nov 2020.","https://www.fiercepharma.com/pharma/curevac-advanced-talks-eu-to-supply-225m-coronavirus-vaccine-doses, https://www.reuters.com/article/us-health-coronavirus-eu-curevac-idUSKBN25G0Z2 ; https://www.reuters.com/article/uk-health-coronavirus-eu-curevac-idUKKBN27W1YN ; https://www.theguardian.com/world/2020/dec/18/belgian-minister-accidentally-tweets-eus-covid-vaccine-price-list ; https://www.reuters.com/article/uk-health-coronavirus-eu-pfizer-exclusiv/exclusive-eu-could-pay-over-10-billion-for-pfizer-and-curevac-vaccines-source-idUKKBN2800ID; https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html"
Johnson & Johnson,United States/Belgium,Approved,1,Multilateral Purchase,Yes,,,200.000,,1700.00, 8.50 ,European Union,0,High income," 35,812.48 "," 16,026,517,409,439.00 "," 447,512,041.00 ",447.51,0.447,44.69%,"Deal for 200m, option for additional 200m. Price based on leaked price/dose provided by Belgian foreign minister.",https://www.jnj.com/johnson-johnson-announces-european-commission-approval-of-agreement-to-supply-200-million-doses-of-janssens-covid-19-vaccine-candidate ; https://ec.europa.eu/commission/presscorner/detail/en/ip_20_1829 ; https://www.theguardian.com/world/2020/dec/18/belgian-minister-accidentally-tweets-eus-covid-vaccine-price-list
Moderna,United States,Approved,2,Multilateral Purchase,Yes,,,310.000,,5580.00, 18.00 ,European Union,0,High income," 35,812.48 "," 16,026,517,409,439.00 "," 447,512,041.00 ",447.51,0.693,34.64%,"Initial deal was for 80m, with option to extend another 80. Option has now been exercised. Second contract for 150m, with option for additional 150m in 2022, signed in Feb 2021. Price based on price/dose tweeted by Belgian foreign minister.","https://investors.modernatx.com/news-releases/news-release-details/european-commission-purchases-additional-150-million-doses-covid#:~:text=This%20brings%20its%20confirmed%20order,Moderna%20and%20our%20mRNA%20platform ; https://ec.europa.eu/commission/presscorner/detail/en/ip_21_655; https://www.politico.eu/article/commission-to-seal-deal-with-moderna-for-up-to-160m-doses-of-coronavirus-vax/ ; https://www.marketwatch.com/story/eu-to-buy-an-additional-80-million-doses-of-modernas-coronavirus-vaccine-2020-12-18 ; https://www.theguardian.com/world/2020/dec/18/belgian-minister-accidentally-tweets-eus-covid-vaccine-price-list"
Novavax,United States,Phase 3,2,Multilateral Purchase,No,,,100.000,,Not available,,European Union,0,High income," 35,812.48 "," 16,026,517,409,439.00 "," 447,512,041.00 ",447.51,0.223,11.17%,"Exploratory talks concluded December 17, 2020 for deal for 100m, with option to extend another 100m",https://ec.europa.eu/commission/presscorner/detail/en/ip_20_2305
Pfizer/BioNTech,United States/Germany,Approved,2,Multilateral Purchase,Yes,,,1500.000,,28350.00, 18.90 ,European Union,0,High income," 35,812.48 "," 16,026,517,409,439.00 "," 447,512,041.00 ",447.51,3.352,167.59%,"Initial deal was for 200m with option for 100m extension; that extension has now been used, and another contract for another 200m with an option for an additional 100m has been finalized (600m doses total available). 100m additional doses purchased in Apr 2021, bringing total to 600m. In May 2021, third contract signed for 900m, with option for additional 900m extension. Hungary has reportedly opted out of this third contract. Price based on price/dose reported in December 2020 for first 300m, same price applied to 600m and then 900m purchased. This price is higher than that estimated in tweets by Belgian foreign minister.",https://www.npr.org/sections/coronavirus-live-updates/2021/05/08/995007124/ramping-up-its-covid-response-eu-will-buy-up-to-1-8b-doses-of-pfizer-vaccine ; https://www.reuters.com/world/europe/european-commission-signs-third-contract-with-biontech-pfizer-18-bln-vaccine-2021-05-20/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/hungary-has-opted-out-new-vaccine-deal-with-pfizer-2021-05-20/ ; https://ec.europa.eu/commission/presscorner/detail/en/ip_20_2081 ; https://www.politico.eu/article/commission-purchases-300m-more-doses-of-biontech-pfizer-coronavirus-vaccine/ ; https://ec.europa.eu/commission/presscorner/detail/en/ip_21_9 ; https://www.theguardian.com/world/2020/dec/18/belgian-minister-accidentally-tweets-eus-covid-vaccine-price-list ; https://www.reuters.com/article/us-health-coronavirus-eu-vaccine-prices-idUSKBN28V0Y6 ; https://www.globenewswire.com/news-release/2021/04/19/2212065/0/en/Pfizer-and-BioNTech-to-Supply-the-European-Union-with-100-Million-Additional-Doses-of-COMIRNATY.html ; https://www.npr.org/sections/coronavirus-live-updates/2021/05/08/995007124/ramping-up-its-covid-response-eu-will-buy-up-to-1-8b-doses-of-pfizer-vaccine
Sanofi/GSK,France/United Kingdom,Phase 2,2,Multilateral Purchase,Yes,,,300.000,,2790.00, 9.30 ,European Union,0,High income," 35,812.48 "," 16,026,517,409,439.00 "," 447,512,041.00 ",447.51,0.670,33.52%,Price based on price/dose reported by Belgian foreign minister. ,https://www.fiercepharma.com/pharma/curevac-advanced-talks-eu-to-supply-225m-coronavirus-vaccine-doses ; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_Sanofi-GlaxoSmithKline_European_Commission_EN.pdf ; https://ec.europa.eu/commission/presscorner/detail/en/ip_20_1680 ; https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html
Valneva,France,Phase 3,2,Multilateral Purchase,Terminated,,,40.000,,Not available,,European Union,0,High income," 35,812.48 "," 16,026,517,409,439.00 "," 447,512,041.00 ",447.51,0.089,4.47%,"Preliminary talks for 30m dose purchasse, with option to extend to another 30m on January 12, 2021. Reported in April 2021 that they failed to reach an agreement.",https://www.reuters.com/world/europe/eu-says-valneva-has-not-met-conditions-vaccine-supply-deal-2021-04-22/ ; https://ec.europa.eu/commission/presscorner/detail/en/IP_21_51
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,0.100,Starting April 2021,Not available,,Georgia,Europe & Central Asia,Upper middle income," 4,780.00 "," 17,789,951,552.08 "," 3,720,382.00 ",3.72,0.027,1.34%,"Details of the agreement unclear, including whether more doses are to be delivered",http://www.chinadaily.com.cn/a/202104/03/WS6068678da31024ad0bab3753.html
Gamaleya,Russian Federation,Approved,2,Government Purchase,No,,,2.500,,24.38, 9.75 ,Germany,Europe & Central Asia,High income," 48,580.00 "," 4,038,526,156,964.75 "," 83,132,799.00 ",83.13,0.030,1.50%,Bavaria in talks to purchase the vaccine if approved by EU. Total price estimated based on RDIF statements that the same price of 9.75/dose will be charged in all markets.,https://www.reuters.com/article/us-health-coronavirus-germany-sputnik-ex-idUSKBN2BU389
Curevac,Germany,Phase 3,2,Government Purchase,Yes,,,20.000,,Not available,,Germany,Europe & Central Asia,High income," 48,580.00 "," 4,038,526,156,964.75 "," 83,132,799.00 ",83.13,0.241,12.03%,"Date reported here is the agreement was signed; however, the agreement was not announced at that time, and was revealed by reporting in Jan 2021. The agreement is reported based on documents seen by Reuters",https://www.reuters.com/article/idUSKBN29D1WU
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,30.000,,Not available,,Germany,Europe & Central Asia,High income," 48,580.00 "," 4,038,526,156,964.75 "," 83,132,799.00 ",83.13,0.361,18.04%,"Date reported here is the agreement was signed; however, the agreement was not announced at that time, and was revealed by reporting in Jan 2021. The agreement is reported based on documents seen by Reuters",https://www.reuters.com/article/idUSKBN2921FD
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,0.300,Starting April 2021,Not available,,Guinea,Sub-Saharan Africa,Low income, 930.00 ," 11,883,775,469.24 "," 12,771,246.00 ",12.77,0.023,1.17%,"Total doses contracted not disclosed, 0.3m doses delivered",https://www.reuters.com/business/healthcare-pharmaceuticals/guinea-receives-purchase-300000-sinovac-covid-19-vaccines-2021-04-18/
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,2.000,,19.50, 9.75 ,Guinea,Sub-Saharan Africa,Low income, 930.00 ," 11,883,775,469.24 "," 12,771,246.00 ",12.77,0.157,7.83%,Conducting clinical trials in country as well,https://qz.com/africa/1955090/africa-has-to-look-to-china-russia-india-for-covid-vaccines/; https://www.africanews.com/2020/12/31/guinea-begins-administering-russia-s-sputnik-v-covid-19-vaccine// ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,16.000,,156.00, 9.75 ,Guatemala,Latin America & Caribbean,Upper middle income," 4,610.00 "," 76,502,444,236.07 "," 16,604,026.00 ",16.60,0.964,48.18%,Country has reportedly paid for  half the doses (8m) as of March 2021. Total price based on RDIF statements that 9.75 USD/dose would be charged in all markets.,https://www.reuters.com/article/health-coronavirus-guatemala-vaccines/guatemala-to-buy-16-million-russian-sputnik-v-vaccines-idUSE1N2L0007
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,1.400,May-21,Not available,,Honduras,Latin America & Caribbean,Lower middle income," 2,390.00 "," 23,303,431,055.96 "," 9,746,117.00 ",9.75,0.144,7.18%,,https://www.reuters.com/article/health-coronavirus-honduras-idUSL1N2KW2RU
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,0.070,,0.68, 9.75 ,Honduras,Latin America & Caribbean,Lower middle income," 2,390.00 "," 23,303,431,055.96 "," 9,746,117.00 ",9.75,0.007,0.36%,,https://www.reuters.com/article/healthcoronavirus-honduras/honduras-orders-70000-doses-of-russias-sputnik-v-covid-19-vaccine-idUSL1N2KU28H ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,7.500,,Not available,,Hong Kong,East Asia & Pacific,High income," 50,800.00 "," 381,410,073,089.56 "," 7,507,400.00 ",7.51,0.999,49.95%,,https://www.businesstimes.com.sg/government-economy/hk-signs-deal-with-astrazeneca-residents-can-choose-from-3-vaccine-options ; https://www.straitstimes.com/asia/east-asia/pfizer-covid-19-vaccine-clearance-to-be-sought-in-hong-kong-after-fda-nod
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,Shanghai Fosun Pharmaceutical Group Ltd,China,7.500,,Not available,,Hong Kong,East Asia & Pacific,High income," 50,800.00 "," 381,410,073,089.56 "," 7,507,400.00 ",7.51,0.999,49.95%,,https://www.straitstimes.com/asia/east-asia/pfizer-covid-19-vaccine-clearance-to-be-sought-in-hong-kong-after-fda-nod
Sinovac,China,Approved,2,Government Purchase,Yes,,,7.500,,Not available,,Hong Kong,East Asia & Pacific,High income," 50,800.00 "," 381,410,073,089.56 "," 7,507,400.00 ",7.51,0.999,49.95%,,https://www.straitstimes.com/asia/east-asia/pfizer-covid-19-vaccine-clearance-to-be-sought-in-hong-kong-after-fda-nod
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,2.000,,19.50, 9.75 ,Hungary,Europe & Central Asia,High income," 16,500.00 "," 161,251,772,280.71 "," 9,769,949.00 ",9.77,0.205,10.24%,The doses will be delivered in 3 tranches. Reporting on government contract puts price at 19.9/2 doses; this number is used to calculate price/dose and total price. The contract also says that any negative impact from the vaccine will not be the responsibility of the vaccine producer.,https://www.reuters.com/article/idUSKBN29R1CR ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7 ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7 ; https://hungarytoday.hu/hungary-vaccine-contracts-procurement-sinopharm-sputnik-v-price/ ;
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,Danubia Pharma [distributor],Hungary,5.000,,178.60, 35.72 ,Hungary,Europe & Central Asia,High income," 16,500.00 "," 161,251,772,280.71 "," 9,769,949.00 ",9.77,0.512,25.59%,Price/dose based on reporting on contract with the government (excludes VAT) and is used to calculate total price. Danubia Pharma is acting as an intermediary between the state and the Sinopharm. There is some debate around the pricing with opposition arguing that the govt is purchasing at twice its actual cost and there is possible indication of corruption. No indication of the original cost at which Danubia is procuring the vaccine., https://hvg.hu/gazdasag/20210311_A_kormany_kirakta_a_Facebookra_az_orosz_es_kinai_vakcinaszerzodeseket?fbclid=IwAR05G23DxPQ2H1__TfdMdfugWnZbyF6KtfOtYgPcbsYiupcGn4hMHCNs_N8 ; https://hungarytoday.hu/hungary-vaccine-contracts-procurement-sinopharm-sputnik-v-price/ ; https://hungarytoday.hu/chinese-sinopharm-vaccine-hungary/
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,210.000,,445.20, 2.12 ,India,South Asia,Lower middle income," 2,120.00 "," 2,893,205,300,676.60 "," 1,366,417,754.00 ",1366.42,0.154,7.68%,"Two separate orders for 20m and 50m in March and April 2021. Confirmed in a press release in May 2021. Exchange rate used, 1INR = 0.013487 USD",https://www.newindianexpress.com/nation/2021/mar/16/centreplaces-new-purchase-order-with-serum-institute-of-india-for-10-crore-doses-of-covishield-vacc-2277418.html ; https://www.theguardian.com/world/2020/oct/20/india-at-heart-of-global-efforts-to-produce-covid-vaccine ; https://www.bloomberg.com/features/2020-covid-vaccine-serum-india/ ; https://pib.gov.in/PressReleasePage.aspx?PRID=1715649
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,11.000,,29.92, 2.72 ,India,South Asia,Lower middle income," 2,120.00 "," 2,893,205,300,676.60 "," 1,366,417,754.00 ",1366.42,0.008,0.40%,"Total order and price per dose based on Reuters and Livemint reports from January. However, there are other reports that suggest that number of doses ordered could be 56m. ",https://www.livemint.com/news/india/at-what-cost-is-govt-sourcing-serum-s-covishield-bharat-biotech-s-covaxin-explained-11610450615485.html ; https://www.reuters.com/article/health-coronavirus-vaccine-india/india-signs-purchase-order-with-serum-for-astrazeneca-vaccine-source-idUSKBN29G126 ; https://www.thehindu.com/news/national/vaccines-bought-first-using-pm-cares-funds-cost-centre-more/article34508997.ece
Bharat Biotech,India,Approved,2,Government Purchase,Yes,,,70.000,,148.40, 2.12 ,India,South Asia,Lower middle income," 2,120.00 "," 2,893,205,300,676.60 "," 1,366,417,754.00 ",1366.42,0.051,2.56%,"Two separate orders for 20m and 50m in March and April 2021. Confirmed in a press release in May 2021. Exchange rate used, 1INR = 0.013487 USD",https://pib.gov.in/PressReleasePage.aspx?PRID=1715649
Bharat Biotech,India,Approved,2,Government Purchase,Yes,,,10.000,Jan-21,22.71, 2.72 ,India,South Asia,Lower middle income," 2,120.00 "," 2,893,205,300,676.60 "," 1,366,417,754.00 ",1366.42,0.007,0.37%,Two separate orders reported for 5.5m in January 2021 and 4.5m in February 2021. 1.65m doses in January were given free of cost; this is reflected in the total cost of the agreement. The later 4.5m doses are also said to include 0.8m doses that were meant as donations to other countries. The initial price/dose reported in January was INR 295. However an RTI response by the Health Ministry in May 2021 suggests that the price/dose was reducted to match that of SII's AstraZeneca vaccine price at INR 210 (or USD 2.72).,https://www.thehindu.com/business/Industry/bharat-biotech-begins-covaxin-supplies/article33566746.ece ; https://www.reuters.com/article/us-health-coronavirus-india-vaccine-idUSKBN2AI0MW ; https://www.thehindu.com/news/national/vaccines-bought-first-using-pm-cares-funds-cost-centre-more/article34508997.ece ; https://www.livemint.com/companies/news/bharat-bio-to-step-up-covaxin-output-11611102159125.html
Novavax,United States,Phase 3,2,Government Purchase,Unclear,Serum Institute,India,500.000,,Not available,,India,South Asia,Lower middle income," 2,120.00 "," 2,893,205,300,676.60 "," 1,366,417,754.00 ",1366.42,0.366,18.30%,The Serum Institute has stated that half of what it produces will be kept for the domestic market in India; it is unclear whether those doses have been purchased by the Indian government or otherwise secured. ,https://www.theguardian.com/world/2020/oct/20/india-at-heart-of-global-efforts-to-produce-covid-vaccine ; https://ir.novavax.com/news-releases/news-release-details/novavax-announces-covid-19-vaccine-manufacturing-agreement-serum
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,Dr. Reddy's [distributor],India,100.000,,975.00, 9.75 ,India,South Asia,Lower middle income," 2,120.00 "," 2,893,205,300,676.60 "," 1,366,417,754.00 ",1366.42,0.073,3.66%,Doses are currently being imported of which 0.15m doses have been delivered. The total 100m doses are based on Dr Reddy's agreement with RDIF. Reuters has reported that the vaccine will be priced at USD 13.58. Price based on RDIF's statement that the vaccine is being sold in all markets for 9.75 USD/dose.,https://www.reuters.com/world/india/pfizer-talks-with-india-over-expedited-approval-covid-19-vaccine-2021-05-03/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/indias-dr-reddys-get-36-mln-doses-sputnik-v-vaccine-next-few-months-2021-05-14/ ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,50.000,,250.00, 5.00 ,Indonesia,East Asia & Pacific,Upper middle income," 4,050.00 "," 1,097,222,981,867.23 "," 270,625,568.00 ",270.63,0.185,9.24%,50m doses reported as option and 50m as purchase for $250m. This deal may be at risk - Indonesia failed to make first down payment in October. Total price and price/dose based on 50% down payment put at 225m USD.,https://www.kemkes.go.id/article/view/21010200001/1-8-juta-vaksin-covid-19-tambahan-tiba-di-tanah-air-bukti-nyata-komitmen-pemerintah-lindungi-masyara.html ; https://en.antaranews.com/news/158753/indonesia-secures-vaccine-supply-for-135-million-people-until-2021; https://jakartaglobe.id/business/vaccine-plan-with-astrazeneca-is-still-on-airlangga
CanSino Biologics,China,Approved,1,Government Purchase,Yes,,,15.000,2021,Not available,,Indonesia,East Asia & Pacific,Upper middle income," 4,050.00 "," 1,097,222,981,867.23 "," 270,625,568.00 ",270.63,0.055,5.54%,,https://en.antaranews.com/news/158753/indonesia-secures-vaccine-supply-for-135-million-people-until-2021
Moderna,United States,Approved,2,Government Purchase,Yes,Bio Pharma [distributor],Indonesia,5.200,Sep-21,Not available,,Indonesia,East Asia & Pacific,Upper middle income," 4,050.00 "," 1,097,222,981,867.23 "," 270,625,568.00 ",270.63,0.019,0.96%,"The purchase agreement is part of Indonesia's drive to allow private vaccinations. The state owned Bio-Pharma has announced the purchase agreements, and private companies can buy the vaccine from them.",https://www.reuters.com/article/us-health-coronavirus-indonesia-vaccine/indonesia-orders-20-million-covid-19-vaccine-doses-for-private-inoculations-idUSKBN2B70LV ; https://www.reuters.com/article/us-health-coronavirus-indonesia-vaccines-idUSKBN2AH11A
Novavax,United States,Phase 3,2,Government Purchase,Yes,,,50.000,,Not available,,Indonesia,East Asia & Pacific,Upper middle income," 4,050.00 "," 1,097,222,981,867.23 "," 270,625,568.00 ",270.63,0.185,9.24%,Government sources report purchase for 50m with option for additional 80m doses,https://www.kemkes.go.id/article/view/21010200001/1-8-juta-vaksin-covid-19-tambahan-tiba-di-tanah-air-bukti-nyata-komitmen-pemerintah-lindungi-masyara.html ; https://www.reuters.com/article/health-coronavirus-indonesia-vaccine-idINL1N2IQ0E3
Sinovac,China,Approved,2,Combination,Yes,Bio Farma,Indonesia,125.500,3 million complete doses expected to be shipped by January 2021; raw materials for 45 million doses to be produced by PT Bio Pharma expected by January 2021 ,Not available,,Indonesia,East Asia & Pacific,Upper middle income," 4,050.00 "," 1,097,222,981,867.23 "," 270,625,568.00 ",270.63,0.464,23.19%,"Phase 3 trial site for Sinovac and recipient of tech transfer for local manufacturing. Plans that Bio Farma will be able to increase its manufacturing capacity to 250 million doses by end of the year, from ~100 million doses right now. PT Bio Farma has stated that the vaccines will be sold for approximately 13.50 USD/dose. ",https://www.channelnewsasia.com/news/asia/indonesia-covid-19-vaccines-sinovac-china-1-2-million-13769352 ; https://www.reuters.com/article/health-coronavirus-indonesia-vaccine-idINL1N2IQ0E3 ; https://www.thejakartapost.com/news/2020/10/13/covid-19-vaccine-to-be-priced-at-rp-200000-per-dosage-bio-farma.html ; https://www.bloomberg.com/news/articles/2020-08-22/indonesia-signs-agreement-with-sinovac-for-covid-19-vaccine ; https://en.antaranews.com/news/158753/indonesia-secures-vaccine-supply-for-135-million-people-until-2021
Sinopharm/Beijing,China,Approved,2,Combination,Yes,Bio Pharma,Indonesia,15.000,Jun-21,Not available,,Indonesia,East Asia & Pacific,Upper middle income," 4,050.00 "," 1,097,222,981,867.23 "," 270,625,568.00 ",270.63,0.055,2.77%,"The purchase agreement is part of Indonesia's drive to allow private vaccinations. The state-owned Bio-Pharma has announced the purchase agreements, and private companies can buy the vaccine from them. There has also been reporting of a purchase for 15m doses where it is unclear if Bio-Pharma is involved, and that another 50m doses are planned in 2021, but this has not been confirmed. Higher doses are reported as part of the manufacturing arrangement.",https://www.reuters.com/article/us-health-coronavirus-indonesia-vaccine/indonesia-orders-20-million-covid-19-vaccine-doses-for-private-inoculations-idUSKBN2B70LV ; https://www.reuters.com/article/us-health-coronavirus-indonesia-vaccines-idUSKBN2AH11A
Sinovac,China,Approved,2,Private Donation,Yes,,,0.050,,Not available,,CONMEBOL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Sinovac has donated 50,000 doses to the South American Football Confederation (CONMEBOL) for national teams in advace of the Copa America. ",https://www.espn.com/soccer/copa-america/story/4359042/chinese-company-donates-50k-covid-vaccines-to-conmebol-ahead-of-copa-america
,China,#N/A,#N/A,Other,Yes,,,,,Not available,#VALUE!,International Olympic Committee,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Details are scant, but there are reports that the International Olympic Committee will purchase vaccine doses for athletes from China. Not clear how many doses or which vaccine will be used. ",https://apnews.com/article/beijing-thomas-bach-tokyo-coronavirus-pandemic-2020-tokyo-olympics-a4906bfe5df1cb45549cb0b5ffd5a54f
Bharat Biotech,India,Approved,2,Government Purchase,Yes,,,0.500,Mar-21,Not available,,"Iran, Islamic rep.",Middle East & North Africa,Upper middle income," 5,300.00 "," 433,734,190,602.17 "," 82,913,906.00 ",82.91,0.006,0.30%,"News report do not mention if this is a purchase, but govt sources list it under commercial dispatch",https://www.livemint.com/science/health/150000-doses-of-bharat-biotech-s-covaxin-reaches-iran-11615461876905.html ; https://www.mea.gov.in/vaccine-supply.htm
Gamaleya,Russian Federation,Approved,2,Combination,Yes,,,62.000,Feb-21,604.50, 9.75 ,"Iran, Islamic rep.",Middle East & North Africa,Upper middle income," 5,300.00 "," 433,734,190,602.17 "," 82,913,906.00 ",82.91,0.748,37.39%,"The agreement is for purchase and joint production and reports note that two in-country manufacturers have concluded arrangements with the RDIF, but these companies have not been identified. Total anticipated production is not clear but Reuters has reported an initial contract for 2m doses, and a second contract for 60m doses that was announced April 15 2021. Anticipated eventual manufacturing production of 40m doses/year. Price based on RDIF statements that the vaccine will be sold in all markets for 9.75/dose.",https://www.reuters.com/article/health-coronavirus-iran-vaccination-int/iran-starts-covid-vaccination-awaits-more-vaccine-deliveries-idUSKBN2A9120 ; https://tass.com/world/1250733 ; http://www.uniindia.com/news/world/health-iran-sputnik-vaccine/2326572.html ; https://www.rferl.org/a/iran-signs-deal-to-buy-60-million-sputnik-vaccine-doses-from-russia/31205682.html
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,2.000,,Not available,,Iraq,Middle East & North Africa,Upper middle income," 5,740.00 "," 225,739,218,618.46 "," 39,309,783.00 ",39.31,0.051,2.54%,,https://abcnews.go.com/Health/wireStory/iraq-launches-vaccine-program-arrival-china-doses-76200686
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,1.000,Mar-21,9.75, 9.75 ,Iraq,Middle East & North Africa,Upper middle income," 5,740.00 "," 225,739,218,618.46 "," 39,309,783.00 ",39.31,0.025,1.27%,,https://www.reuters.com/article/health-coronavirus-iraq-vaccine-int/iraq-signs-deal-to-receive-russias-sputnik-v-vaccine-idUSKBN2AW1VZ
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,1.500,early 2021,Not available,,Iraq,Middle East & North Africa,Upper middle income," 5,740.00 "," 225,739,218,618.46 "," 39,309,783.00 ",39.31,0.038,1.91%,,https://www.reuters.com/article/idUSKBN28V2FU
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,2.000,,Not available,,Iraq,Middle East & North Africa,Upper middle income," 5,740.00 "," 225,739,218,618.46 "," 39,309,783.00 ",39.31,0.051,2.54%,Health ministry announced the 2m arrangement while receiving a first batch of donations from China,https://www.arabnews.com/node/1818291/middle-east
Arcturus/Duke NUS,Singapore/United States,Phase 2,1,Government Purchase,Yes,,,4.000,,275.00, 68.75 ,Israel,Middle East & North Africa,High income," 43,110.00 "," 390,264,407,455.91 "," 9,053,300.00 ",9.05,0.442,44.18%,"Single dose. Deal reported as having a price of ""up to"" 275m USD.",https://www.jpost.com/health-science/israel-to-sign-agreement-with-vaccine-company-in-advanced-testing-stages-636132 ; https://www.cnbc.com/2020/11/27/singapore-arcturus-coronavirus-vaccine-candidate-on-track-for-2021-delivery.html
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,10.000,Starting May 2021,Not available,,Israel,Middle East & North Africa,High income," 43,110.00 "," 390,264,407,455.91 "," 9,053,300.00 ",9.05,1.105,55.23%,,https://www.jpost.com/breaking-news/astrazeneca-covid-19-vaccine-can-be-90-percent-effective-649957
Moderna,United States,Approved,2,Government Purchase,Yes,,,10.000,,Not available,,Israel,Middle East & North Africa,High income," 43,110.00 "," 390,264,407,455.91 "," 9,053,300.00 ",9.05,1.105,55.23%,"Israel reportedly struck new arrangments with Modern and Pfizer for a total of 16m doses, but not clear how many of each. Report by Reuters puts number of Moderna doses at 10m, greater than an earlier reported 6m. ",https://www.businesswire.com/news/home/20201204005331/en/Moderna-Announces-Amendment-to-Supply-Agreement-with-the-Ministry-of-Health-of-Israel-to-Supply-Additional-Doses-of-mRNA-Vaccine-Against-COVID-19-mRNA-1273 ; https://www.reuters.com/business/healthcare-pharmaceuticals/israel-buy-covid-19-variant-specific-vaccine-moderna-2021-04-20/
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,15.000,,352.50, 23.50 ,Israel,Middle East & North Africa,High income," 43,110.00 "," 390,264,407,455.91 "," 9,053,300.00 ",9.05,1.657,82.84%,Reported estimated price/dose is used to calculate total price. Reports indicate actual price may be even higher. ,https://www.timesofisrael.com/israel-has-spent-788m-on-vaccines-could-double-that-in-future-health-ministry/ ; https://www.timesofisrael.com/israel-seals-vaccine-deal-with-pfizer-amid-signs-pandemic-spreading-again/
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,NA,,Not available, 9.75 ,Italy,Europe & Central Asia,High income," 34,530.00 "," 2,081,972,404,768.57 "," 60,297,396.00 ",60.30,#VALUE!,#VALUE!,Deal signed by the Campania region and is subject to EMA approval of the vaccine. Price based on statements that Gamaleya is charging the 9.75/dose in all markets.,https://www.reuters.com/article/us-health-coronavirus-italy-sputnik/italys-campania-region-signs-deal-to-buy-russias-sputnik-v-vaccine-idUSKBN2BI2I6
